time;V(/VC1);
0;5e-14;
1e-07;0.00049995;
2e-07;0.00099985;
4e-07;0.00199955;
8e-07;0.00399835;
1.6e-06;0.00799355;
3.2e-06;0.0159744;
6.4e-06;0.0318978;
1.28e-05;0.0635922;
2.28e-05;0.112711;
3.28e-05;0.16134;
4.28e-05;0.209486;
5.28e-05;0.257153;
6.28e-05;0.304346;
7.28e-05;0.351069;
8.28e-05;0.397327;
9.28e-05;0.443124;
0.0001028;0.488466;
0.0001128;0.533357;
0.0001228;0.577801;
0.0001328;0.621803;
0.0001428;0.665368;
0.0001528;0.708498;
0.0001628;0.7512;
0.0001728;0.793476;
0.0001828;0.835332;
0.0001928;0.876772;
0.0002028;0.917799;
0.0002128;0.958418;
0.0002228;0.998633;
0.0002328;1.03845;
0.0002428;1.07787;
0.0002528;1.11689;
0.0002628;1.15553;
0.0002728;1.19378;
0.0002828;1.23166;
0.0002928;1.26915;
0.0003028;1.30627;
0.0003128;1.34303;
0.0003228;1.37942;
0.0003328;1.41544;
0.0003428;1.45111;
0.0003528;1.48642;
0.0003628;1.52138;
0.0003728;1.556;
0.0003828;1.59026;
0.0003928;1.62419;
0.0004028;1.65778;
0.0004128;1.69104;
0.0004228;1.72396;
0.0004328;1.75656;
0.0004428;1.78883;
0.0004528;1.82079;
0.0004628;1.85242;
0.0004728;1.88374;
0.0004828;1.91475;
0.0004928;1.94545;
0.0005028;1.97584;
0.0005128;2.00593;
0.0005228;2.03572;
0.0005328;2.06522;
0.0005428;2.09442;
0.0005528;2.12333;
0.0005628;2.15195;
0.0005728;2.18029;
0.0005828;2.20835;
0.0005928;2.23613;
0.0006028;2.26363;
0.0006128;2.29086;
0.0006228;2.31781;
0.0006328;2.3445;
0.0006428;2.37092;
0.0006528;2.39708;
0.0006628;2.42298;
0.0006728;2.44863;
0.0006828;2.47401;
0.0006928;2.49915;
0.0007028;2.52403;
0.0007128;2.54867;
0.0007228;2.57306;
0.0007328;2.59721;
0.0007428;2.62112;
0.0007528;2.64479;
0.0007628;2.66822;
0.0007728;2.69142;
0.0007828;2.71439;
0.0007928;2.73714;
0.0008028;2.75965;
0.0008128;2.78194;
0.0008228;2.80401;
0.0008328;2.82586;
0.0008428;2.8475;
0.0008528;2.86892;
0.0008628;2.89012;
0.0008728;2.91111;
0.0008828;2.9319;
0.0008928;2.95248;
0.0009028;2.97285;
0.0009128;2.99302;
0.0009228;3.01299;
0.0009328;3.03276;
0.0009428;3.05234;
0.0009528;3.07172;
0.0009628;3.0909;
0.0009728;3.1099;
0.0009828;3.12871;
0.0009928;3.14733;
0.0010028;3.16576;
0.0010128;3.18401;
0.0010228;3.20208;
0.0010328;3.21997;
0.0010428;3.23768;
0.0010528;3.25522;
0.0010628;3.27258;
0.0010728;3.28977;
0.0010828;3.30679;
0.0010928;3.32363;
0.0011028;3.34031;
0.0011128;3.35683;
0.0011228;3.37318;
0.0011328;3.38936;
0.0011428;3.40539;
0.0011528;3.42126;
0.0011628;3.43697;
0.0011728;3.45252;
0.0011828;3.46792;
0.0011928;3.48316;
0.0012028;3.49825;
0.0012128;3.5132;
0.0012228;3.52799;
0.0012328;3.54264;
0.0012428;3.55714;
0.0012528;3.5715;
0.0012628;3.58571;
0.0012728;3.59978;
0.0012828;3.61372;
0.0012928;3.62751;
0.0013028;3.64117;
0.0013128;3.65469;
0.0013228;3.66807;
0.0013328;3.68133;
0.0013428;3.69445;
0.0013528;3.70744;
0.0013628;3.7203;
0.0013728;3.73303;
0.0013828;3.74564;
0.0013928;3.75812;
0.0014028;3.77048;
0.0014128;3.78271;
0.0014228;3.79482;
0.0014328;3.80682;
0.0014428;3.81869;
0.0014528;3.83044;
0.0014628;3.84208;
0.0014728;3.8536;
0.0014828;3.86501;
0.0014928;3.8763;
0.0015028;3.88748;
0.0015128;3.89855;
0.0015228;3.90951;
0.0015328;3.92036;
0.0015428;3.93111;
0.0015528;3.94174;
0.0015628;3.95227;
0.0015728;3.9627;
0.0015828;3.97302;
0.0015928;3.98324;
0.0016028;3.99335;
0.0016128;4.00337;
0.0016228;4.01329;
0.0016328;4.0231;
0.0016428;4.03282;
0.0016528;4.04245;
0.0016628;4.05198;
0.0016728;4.06141;
0.0016828;4.07075;
0.0016928;4.07999;
0.0017028;4.08915;
0.0017128;4.09821;
0.0017228;4.10719;
0.0017328;4.11607;
0.0017428;4.12486;
0.0017528;4.13357;
0.0017628;4.14219;
0.0017728;4.15073;
0.0017828;4.15918;
0.0017928;4.16755;
0.0018028;4.17583;
0.0018128;4.18403;
0.0018228;4.19215;
0.0018328;4.20019;
0.0018428;4.20815;
0.0018528;4.21602;
0.0018628;4.22383;
0.0018728;4.23155;
0.0018828;4.23919;
0.0018928;4.24676;
0.0019028;4.25426;
0.0019128;4.26168;
0.0019228;4.26903;
0.0019328;4.2763;
0.0019428;4.2835;
0.0019528;4.29063;
0.0019628;4.29769;
0.0019728;4.30468;
0.0019828;4.3116;
0.0019928;4.31845;
0.0020028;4.32523;
0.0020128;4.33194;
0.0020228;4.33859;
0.0020328;4.34517;
0.0020428;4.35169;
0.0020528;4.35814;
0.0020628;4.36452;
