time;I(L1);
7.94e-10;3.9696e-06;
1.588e-09;7.93881e-06;
3.176e-09;1.58764e-05;
6.352e-09;3.17469e-05;
1.2704e-08;6.34688e-05;
2.5408e-08;0.000126836;
5.0816e-08;0.000253268;
7.94e-08;0.000395021;
8.44816e-08;0.00042016;
9.46448e-08;0.000470405;
1.14971e-07;0.000570704;
1.55624e-07;0.000770533;
2.3693e-07;0.00116714;
3.3693e-07;0.00164939;
4.3693e-07;0.00212561;
5.3693e-07;0.00259586;
6.3693e-07;0.00306023;
7.3693e-07;0.00351878;
8.3693e-07;0.00397159;
9.3693e-07;0.00441873;
1.03693e-06;0.00486028;
1.13693e-06;0.00529629;
1.23693e-06;0.00572684;
1.33693e-06;0.00615201;
1.43693e-06;0.00657185;
1.53693e-06;0.00698643;
1.63693e-06;0.00739582;
1.73693e-06;0.00780009;
1.83693e-06;0.00819929;
1.93693e-06;0.0085935;
2.03693e-06;0.00898277;
2.13693e-06;0.00936716;
2.23693e-06;0.00974674;
2.33693e-06;0.0101216;
2.43693e-06;0.0104917;
2.53693e-06;0.0108572;
2.63693e-06;0.0112181;
2.73693e-06;0.0115745;
2.83693e-06;0.0119265;
2.93693e-06;0.012274;
3.03693e-06;0.0126172;
3.13693e-06;0.0129561;
3.23693e-06;0.0132907;
3.33693e-06;0.0136212;
3.43693e-06;0.0139475;
3.53693e-06;0.0142697;
3.63693e-06;0.0145879;
3.73693e-06;0.0149022;
3.83693e-06;0.0152124;
3.93693e-06;0.0155188;
4.03693e-06;0.0158214;
4.13693e-06;0.0161202;
4.23693e-06;0.0164152;
4.33693e-06;0.0167065;
4.43693e-06;0.0169942;
4.53693e-06;0.0172783;
4.63693e-06;0.0175588;
4.73693e-06;0.0178358;
4.83693e-06;0.0181094;
4.93693e-06;0.0183795;
5.03693e-06;0.0186462;
5.13693e-06;0.0189096;
5.23693e-06;0.0191697;
5.33693e-06;0.0194266;
5.43693e-06;0.0196802;
5.53693e-06;0.0199306;
5.63693e-06;0.020178;
5.73693e-06;0.0204222;
5.83693e-06;0.0206633;
5.93693e-06;0.0209015;
6.03693e-06;0.0211366;
6.13693e-06;0.0213689;
6.23693e-06;0.0215982;
6.33693e-06;0.0218246;
6.43693e-06;0.0220482;
6.53693e-06;0.022269;
6.63693e-06;0.022487;
6.73693e-06;0.0227023;
6.83693e-06;0.022915;
6.93693e-06;0.0231249;
7.03693e-06;0.0233322;
7.13693e-06;0.023537;
7.23693e-06;0.0237391;
7.33693e-06;0.0239387;
7.43693e-06;0.0241359;
7.53693e-06;0.0243305;
7.63693e-06;0.0245228;
7.73693e-06;0.0247126;
7.83693e-06;0.0249;
7.93693e-06;0.0250851;
8.03693e-06;0.0252679;
8.13693e-06;0.0254484;
8.23693e-06;0.0256266;
8.33693e-06;0.0258026;
8.43693e-06;0.0259764;
8.53693e-06;0.026148;
8.63693e-06;0.0263175;
8.73693e-06;0.0264848;
8.83693e-06;0.0266501;
8.93693e-06;0.0268133;
9.03693e-06;0.0269744;
9.13693e-06;0.0271335;
9.23693e-06;0.0272906;
9.33693e-06;0.0274458;
9.43693e-06;0.027599;
9.53693e-06;0.0277503;
9.63693e-06;0.0278997;
9.73693e-06;0.0280473;
9.83693e-06;0.0281929;
9.93693e-06;0.0283368;
1.00369e-05;0.0284789;
1.01369e-05;0.0286191;
1.02369e-05;0.0287577;
1.03369e-05;0.0288945;
1.04369e-05;0.0290295;
1.05369e-05;0.0291629;
1.06369e-05;0.0292946;
1.07369e-05;0.0294247;
1.08369e-05;0.0295532;
1.09369e-05;0.02968;
1.10369e-05;0.0298052;
1.11369e-05;0.0299289;
1.12369e-05;0.030051;
1.13369e-05;0.0301716;
1.14369e-05;0.0302907;
1.15369e-05;0.0304083;
1.16369e-05;0.0305244;
1.17369e-05;0.0306391;
1.18369e-05;0.0307523;
1.19369e-05;0.0308642;
1.20369e-05;0.0309746;
1.21369e-05;0.0310836;
1.22369e-05;0.0311913;
1.23369e-05;0.0312976;
1.24369e-05;0.0314026;
1.25369e-05;0.0315063;
1.26369e-05;0.0316086;
1.27369e-05;0.0317097;
1.28369e-05;0.0318096;
1.29369e-05;0.0319081;
1.30369e-05;0.0320055;
1.31369e-05;0.0321016;
1.32369e-05;0.0321965;
1.33369e-05;0.0322903;
1.34369e-05;0.0323828;
1.35369e-05;0.0324742;
1.36369e-05;0.0325645;
1.37369e-05;0.0326536;
1.38369e-05;0.0327416;
1.39369e-05;0.0328285;
1.40369e-05;0.0329143;
1.41369e-05;0.0329991;
1.42369e-05;0.0330828;
1.43369e-05;0.0331654;
1.44369e-05;0.033247;
1.45369e-05;0.0333276;
1.46369e-05;0.0334072;
1.47369e-05;0.0334857;
1.48369e-05;0.0335633;
1.49369e-05;0.0336399;
1.50369e-05;0.0337156;
1.51369e-05;0.0337903;
1.52369e-05;0.0338641;
1.53369e-05;0.0339369;
1.54369e-05;0.0340089;
1.55369e-05;0.0340799;
1.56369e-05;0.0341501;
1.57369e-05;0.0342194;
1.58369e-05;0.0342878;
1.59369e-05;0.0343553;
1.60369e-05;0.034422;
1.61369e-05;0.0344879;
1.62369e-05;0.0345529;
1.63369e-05;0.0346171;
1.64369e-05;0.0346806;
1.65369e-05;0.0347432;
1.66369e-05;0.034805;
1.67369e-05;0.0348661;
1.68369e-05;0.0349264;
1.69369e-05;0.034986;
1.70369e-05;0.0350448;
1.71369e-05;0.0351029;
1.72369e-05;0.0351602;
1.73369e-05;0.0352168;
1.74369e-05;0.0352727;
1.75369e-05;0.035328;
1.76369e-05;0.0353825;
1.77369e-05;0.0354363;
1.78369e-05;0.0354895;
1.79369e-05;0.035542;
1.80369e-05;0.0355938;
1.81369e-05;0.035645;
1.82369e-05;0.0356956;
1.83369e-05;0.0357455;
1.84369e-05;0.0357948;
1.85369e-05;0.0358435;
1.86369e-05;0.0358915;
1.87369e-05;0.035939;
1.88369e-05;0.0359859;
1.89369e-05;0.0360322;
1.90369e-05;0.0360779;
1.91369e-05;0.036123;
1.92369e-05;0.0361676;
1.93369e-05;0.0362116;
1.94369e-05;0.0362551;
1.95369e-05;0.036298;
1.96369e-05;0.0363404;
1.97369e-05;0.0363822;
1.98369e-05;0.0364235;
1.99369e-05;0.0364643;
2.00369e-05;0.0365046;
2.01369e-05;0.0365444;
2.02369e-05;0.0365837;
2.03369e-05;0.0366225;
2.04369e-05;0.0366608;
2.05369e-05;0.0366987;
2.06369e-05;0.036736;
2.07369e-05;0.0367729;
2.08369e-05;0.0368093;
2.09369e-05;0.0368453;
2.10369e-05;0.0368808;
2.11369e-05;0.0369159;
2.12369e-05;0.0369506;
2.13369e-05;0.0369848;
2.14369e-05;0.0370186;
2.15369e-05;0.0370519;
2.16369e-05;0.0370848;
2.17369e-05;0.0371174;
2.18369e-05;0.0371495;
2.19369e-05;0.0371812;
2.20369e-05;0.0372125;
2.21369e-05;0.0372435;
2.22369e-05;0.037274;
2.23369e-05;0.0373042;
2.24369e-05;0.0373339;
2.25369e-05;0.0373633;
2.26369e-05;0.0373924;
2.27369e-05;0.0374211;
2.28369e-05;0.0374494;
2.29369e-05;0.0374773;
2.30369e-05;0.0375049;
2.31369e-05;0.0375322;
2.32369e-05;0.0375591;
2.33369e-05;0.0375857;
2.34369e-05;0.037612;
2.35369e-05;0.0376379;
2.36369e-05;0.0376635;
2.37369e-05;0.0376888;
2.38369e-05;0.0377138;
2.39369e-05;0.0377384;
2.40369e-05;0.0377627;
2.41369e-05;0.0377868;
2.42369e-05;0.0378105;
2.43369e-05;0.037834;
2.44369e-05;0.0378571;
2.45369e-05;0.03788;
2.46369e-05;0.0379025;
2.47369e-05;0.0379248;
2.48369e-05;0.0379468;
2.49369e-05;0.0379686;
2.50369e-05;0.03799;
2.51369e-05;0.0380112;
2.52369e-05;0.0380321;
2.53369e-05;0.0380528;
2.54369e-05;0.0380732;
2.55369e-05;0.0380934;
2.56369e-05;0.0381133;
2.57369e-05;0.0381329;
2.58369e-05;0.0381523;
2.59369e-05;0.0381715;
2.60369e-05;0.0381904;
2.61369e-05;0.0382091;
2.62369e-05;0.0382275;
2.63369e-05;0.0382457;
2.64369e-05;0.0382637;
2.65369e-05;0.0382815;
2.66369e-05;0.038299;
2.67369e-05;0.0383164;
2.68369e-05;0.0383335;
2.69369e-05;0.0383504;
2.70369e-05;0.038367;
2.71369e-05;0.0383835;
2.72369e-05;0.0383998;
2.73369e-05;0.0384158;
2.74369e-05;0.0384317;
2.75369e-05;0.0384474;
2.76369e-05;0.0384628;
2.77369e-05;0.0384781;
2.78369e-05;0.0384932;
2.79369e-05;0.0385081;
2.80369e-05;0.0385228;
2.81369e-05;0.0385373;
2.82369e-05;0.0385516;
2.83369e-05;0.0385658;
2.84369e-05;0.0385798;
2.85369e-05;0.0385936;
2.86369e-05;0.0386072;
2.87369e-05;0.0386207;
2.88369e-05;0.038634;
2.89369e-05;0.0386471;
2.90369e-05;0.0386601;
2.91369e-05;0.0386729;
2.92369e-05;0.0386855;
2.93369e-05;0.038698;
2.94369e-05;0.0387103;
2.95369e-05;0.0387225;
2.96369e-05;0.0387345;
2.97369e-05;0.0387464;
2.98369e-05;0.0387581;
2.99369e-05;0.0387697;
3.00369e-05;0.0387811;
3.01369e-05;0.0387924;
3.02369e-05;0.0388036;
3.03369e-05;0.0388146;
