time;V(/V1in);V(/Vc);
1e-07;5;2.50025;
2e-07;5;2.5005;
4e-07;5;2.501;
8e-07;5;2.502;
1.6e-06;4.99999;2.504;
3.2e-06;4.99997;2.50799;
6.4e-06;4.9999;2.51595;
1e-05;4.99975;2.52487;
1.064e-05;4.99972;2.52646;
1.192e-05;4.99964;2.52962;
1.448e-05;4.99948;2.53594;
1.96e-05;4.99904;2.54852;
2.68703e-05;4.9982;2.56626;
3.45998e-05;4.99701;2.58499;
4.26112e-05;4.99546;2.60423;
5.19131e-05;4.99326;2.62636;
6.07496e-05;4.99078;2.64717;
6.85585e-05;4.98825;2.66539;
7.68889e-05;4.98523;2.68465;
8.68889e-05;4.98114;2.70752;
9.52451e-05;4.97734;2.72642;
0.000103761;4.97311;2.74549;
0.000111935;4.96871;2.76361;
0.000121935;4.96288;2.78552;
0.000129649;4.95804;2.80223;
0.000138111;4.95239;2.82037;
0.000146646;4.94633;2.83847;
0.000155083;4.93999;2.85615;
0.000163732;4.93313;2.87407;
0.000171692;4.92649;2.89036;
0.000181692;4.9177;2.91058;
0.000189929;4.91009;2.92701;
0.00019832;4.902;2.94355;
0.000206586;4.89368;2.95964;
0.000216586;4.88318;2.97883;
0.000224359;4.87469;2.99354;
0.000232841;4.86507;3.00939;
0.000241627;4.85475;3.02558;
0.000250014;4.84454;3.04081;
0.0002586;4.83374;3.05619;
0.000266634;4.82332;3.07037;
0.000276634;4.8099;3.08775;
0.000284753;4.79866;3.10162;
0.000293013;4.78689;3.11554;
0.000301401;4.77461;3.12945;
0.000311401;4.75953;3.14574;
0.000319377;4.74716;3.15851;
0.000327827;4.73372;3.17182;
0.000337081;4.71862;3.18614;
0.000345399;4.7047;3.19878;
0.000353895;4.69015;3.21146;
0.000362039;4.67588;3.22339;
0.000372039;4.65794;3.23775;
0.00037996;4.6434;3.2489;
0.000388179;4.628;3.26025;
0.000396698;4.61171;3.27179;
0.000405372;4.59478;3.28329;
0.000413158;4.57929;3.2934;
0.000421393;4.5626;3.30388;
0.00043086;4.54304;3.31564;
0.000439343;4.52516;3.32594;
0.00044801;4.50655;3.3362;
0.000456047;4.489;3.3455;
0.000466047;4.46676;3.35677;
0.000474005;4.44874;3.3655;
0.000482178;4.42993;3.37424;
0.000490696;4.41002;3.38311;
0.000499422;4.3893;3.39194;
0.000507164;4.37063;3.39956;
0.000515401;4.35048;3.40744;
0.000524691;4.32739;3.41606;
0.000533193;4.30594;3.42368;
0.000541885;4.28369;3.43122;
0.000549892;4.26291;3.43794;
0.000559892;4.23656;3.44601;
0.000567918;4.21511;3.45225;
0.000576078;4.19303;3.45836;
0.000584564;4.16976;3.46447;
0.000593367;4.14531;3.47054;
0.00060101;4.12382;3.4756;
0.000609263;4.10035;3.48083;
0.00061827;4.07441;3.48627;
0.000626804;4.04953;3.49116;
0.000635538;4.02376;3.4959;
0.000643492;4.00003;3.49999;
0.000653492;3.96983;3.50482;
0.000661628;3.94496;3.50848;
0.00066991;3.91939;3.51198;
0.000678274;3.89328;3.51526;
0.000688274;3.86172;3.51887;
0.000696207;3.8364;3.52148;
0.000704665;3.80914;3.52401;
0.000713818;3.77934;3.52648;
0.00072215;3.75193;3.52846;
0.000730665;3.72365;3.53024;
0.000738786;3.69643;3.53169;
0.000748786;3.66258;3.53316;
0.000756749;3.63536;3.53408;
0.000764921;3.60718;3.53479;
0.000773441;3.57755;3.53528;
0.000782167;3.54694;3.53551;
0.000789909;3.51955;3.53549;
0.000798146;3.49018;3.53524;
0.000807437;3.45676;3.53467;
0.00081594;3.42592;3.53388;
0.000824631;3.39414;3.53281;
0.000832638;3.36463;3.53159;
0.000842638;3.32748;3.52974;
0.000850664;3.29742;3.528;
0.000858823;3.26664;3.526;
0.00086731;3.2344;3.52368;
0.000876112;3.20071;3.52099;
0.000883756;3.17126;3.51844;
0.000892009;3.13925;3.51546;
0.000901017;3.10406;3.51193;
0.000909551;3.0705;3.50832;
0.000918285;3.03592;3.50436;
0.00092624;3.00422;3.50052;
0.00093624;2.9641;3.49538;
0.000944375;2.93124;3.49095;
0.000952656;2.8976;3.48619;
0.000961021;2.86342;3.48115;
0.000971021;2.82229;3.4748;
0.000978955;2.78945;3.46951;
0.000987412;2.75426;3.46363;
0.000996569;2.71593;3.45699;
0.0010049;2.68086;3.4507;
0.00101341;2.64483;3.44402;
0.00102154;2.61028;3.43741;
0.00103154;2.5675;3.42897;
0.0010395;2.53326;3.422;
0.00104767;2.49795;3.41463;
0.00105619;2.46095;3.40669;
0.00106492;2.42289;3.39831;
0.00107266;2.38894;3.39066;
0.0010809;2.35269;3.38229;
0.00109019;2.31157;3.37257;
0.0010987;2.27379;3.36343;
0.00110739;2.235;3.35383;
0.00111539;2.19912;3.34477;
0.00112539;2.1541;3.33314;
0.00113342;2.11783;3.32358;
0.00114157;2.08082;3.31363;
0.00115006;2.04215;3.30305;
0.00115886;2.0019;3.29182;
0.00116651;1.96681;3.28186;
0.00117476;1.92881;3.2709;
0.00118378;1.88714;3.25867;
0.00119231;1.84756;3.24684;
0.00120104;1.80692;3.2345;
0.001209;1.76977;3.22304;
0.001219;1.72292;3.20835;
0.00122713;1.68469;3.19616;
0.00123541;1.64567;3.18354;
0.00124378;1.6061;3.17056;
0.00125378;1.55867;3.15476;
0.00126172;1.5209;3.14199;
0.00127017;1.48057;3.12817;
0.00127934;1.43672;3.11293;
0.00128767;1.39677;3.09886;
0.00129619;1.35586;3.08426;
0.00130431;1.31671;3.07011;
0.00131431;1.26841;3.05243;
0.00132227;1.22989;3.03814;
0.00133045;1.19021;3.02324;
0.00133897;1.14879;3.00752;
0.00134768;1.10633;2.9912;
0.00135544;1.0685;2.9765;
0.00136367;1.02824;2.96068;
0.00137299;0.982587;2.94255;
0.00138149;0.940882;2.92578;
0.00139018;0.898185;2.90843;
0.00139819;0.858751;2.89223;
0.00140819;0.809452;2.87175;
0.00141621;0.769878;2.85513;
0.00142435;0.729608;2.83805;
0.00143285;0.687538;2.82002;
0.00144164;0.643969;2.80116;
0.0014493;0.60598;2.78456;
0.00145755;0.565009;2.76649;
0.0014666;0.520034;2.74646;
0.00147513;0.477601;2.72737;
0.00148386;0.434146;2.70763;
0.00149182;0.394471;2.68945;
0.00150182;0.344608;2.66636;
0.00150994;0.304094;2.64742;
0.0015182;0.262847;2.62797;
0.00152658;0.220987;2.60805;
0.00153658;0.171025;2.58405;
0.00154455;0.131232;2.56476;
0.001553;0.0889817;2.5441;
0.00156222;0.0428778;2.52135;
0.00157054;0.00126286;2.50063;
0.00157905;-0.041246;2.4793;
0.00158718;-0.0819251;2.45871;
0.00159718;-0.131913;2.43318;
0.00160512;-0.171568;2.41275;
0.00161332;-0.212558;2.39146;
0.00162184;-0.255109;2.36919;
0.00163053;-0.298494;2.3463;
0.00163831;-0.337292;2.32566;
0.00164654;-0.378358;2.30366;
0.00165595;-0.425267;2.27831;
0.00166444;-0.467547;2.25528;
0.00167312;-0.51071;2.23157;
0.00168114;-0.550621;2.20949;
0.00169114;-0.600289;2.18178;
0.00169912;-0.639879;2.15951;
0.00170727;-0.680265;2.13663;
0.00171579;-0.722439;2.11255;
0.00172454;-0.765715;2.08766;
0.00173225;-0.803779;2.0656;
0.00174049;-0.844429;2.04188;
0.00174969;-0.889704;2.01526;
0.0017582;-0.931556;1.99045;
0.00176691;-0.974285;1.96494;
0.0017749;-1.01344;1.9414;
0.0017849;-1.06235;1.91175;
0.00179296;-1.10171;1.88771;
0.00180116;-1.14166;1.86313;
0.0018096;-1.18273;1.83769;
0.00181851;-1.22594;1.81072;
0.00182614;-1.26287;1.78752;
0.00183441;-1.30285;1.76222;
0.00184332;-1.34581;1.73484;
0.00185185;-1.38686;1.70849;
0.00186059;-1.42877;1.68138;
0.00186853;-1.46679;1.65662;
0.00187853;-1.51452;1.6253;
0.0018867;-1.55338;1.59961;
0.00189502;-1.59285;1.57333;
0.00190335;-1.63228;1.5469;
0.00191335;-1.67946;1.51503;
0.00192123;-1.71652;1.48981;
0.00192969;-1.75622;1.46261;
0.00193873;-1.79842;1.43348;
0.00194708;-1.83732;1.40645;
0.00195561;-1.87695;1.3787;
0.00196371;-1.91439;1.35231;
0.00197371;-1.96049;1.31957;
0.00198172;-1.99729;1.29325;
0.00198986;-2.03455;1.26641;
0.00199837;-2.07333;1.23828;
0.00200716;-2.11322;1.20914;
0.00201482;-2.1479;1.18363;
0.00202307;-2.18507;1.15611;
0.00203214;-2.22578;1.12575;
0.00204067;-2.26387;1.09713;
0.00204939;-2.30268;1.06777;
0.00205736;-2.33797;1.04089;
0.00206736;-2.38204;1.00705;
0.00207547;-2.41762;0.979528;
0.00208372;-2.45365;0.95146;
0.00209212;-2.49013;0.922851;
0.00210212;-2.53336;0.888676;
0.00211009;-2.56767;0.861345;
0.00211854;-2.60383;0.832343;
0.0021278;-2.64325;0.800486;
0.00213612;-2.67846;0.771815;
0.00214462;-2.71423;0.742478;
0.00215276;-2.74834;0.7143;
0.00216276;-2.78997;0.679638;
