time;V(/V2in);V(/Vl);
3.14e-12;5;2.5;
6.28e-12;5;2.5;
1.256e-11;5;2.5;
2.512e-11;5;2.49999;
5.024e-11;5;2.49999;
1.0048e-10;5;2.49997;
2.0096e-10;5;2.49995;
3.14e-10;5;2.49992;
3.34096e-10;5;2.49992;
3.74288e-10;5;2.49991;
4.54672e-10;5;2.49989;
6.1544e-10;5;2.49985;
9.36976e-10;5;2.49977;
1.58005e-09;5;2.4996;
2.86619e-09;5;2.49928;
5.43848e-09;5;2.49864;
1.05831e-08;5;2.49735;
2.08722e-08;4.99999;2.49478;
4.14505e-08;4.99996;2.48962;
8.26071e-08;4.99983;2.47926;
1.6492e-07;4.99932;2.45843;
3.29547e-07;4.99729;2.41627;
6.43547e-07;4.98965;2.33406;
9.57547e-07;4.9771;2.24954;
1.27155e-06;4.95963;2.1628;
1.58555e-06;4.93728;2.07394;
1.89955e-06;4.91006;1.98302;
2.21355e-06;4.878;1.89015;
2.52755e-06;4.84114;1.79542;
2.84155e-06;4.79949;1.69892;
3.15555e-06;4.75312;1.60074;
3.46955e-06;4.70206;1.50099;
3.78355e-06;4.64637;1.39975;
4.09755e-06;4.58609;1.29713;
4.41155e-06;4.5213;1.19324;
4.72555e-06;4.45204;1.08817;
5.03955e-06;4.3784;0.98202;
5.35355e-06;4.30044;0.874907;
5.66755e-06;4.21824;0.76693;
5.98155e-06;4.13188;0.658197;
6.29555e-06;4.04145;0.548815;
6.60955e-06;3.94703;0.438892;
6.92355e-06;3.84872;0.328536;
7.23755e-06;3.74662;0.217856;
7.55155e-06;3.64083;0.10696;
7.86555e-06;3.53144;-0.00404071;
8.17955e-06;3.41857;-0.115038;
8.49355e-06;3.30234;-0.225922;
8.80755e-06;3.18285;-0.336583;
9.12155e-06;3.06021;-0.446913;
9.43555e-06;2.93457;-0.556802;
9.74955e-06;2.80603;-0.666143;
1.00635e-05;2.67472;-0.774827;
1.03775e-05;2.54078;-0.882747;
1.06915e-05;2.40433;-0.989797;
1.10055e-05;2.26551;-1.09587;
1.13195e-05;2.12445;-1.20087;
1.16335e-05;1.98131;-1.30468;
1.19475e-05;1.83621;-1.4072;
1.22615e-05;1.6893;-1.50834;
1.25755e-05;1.54072;-1.60799;
1.28895e-05;1.39062;-1.70605;
1.32035e-05;1.23916;-1.80243;
1.35175e-05;1.08647;-1.89704;
1.38315e-05;0.93271;-1.98978;
1.41455e-05;0.778031;-2.08055;
1.44595e-05;0.622586;-2.16928;
1.47735e-05;0.466526;-2.25586;
1.50875e-05;0.310007;-2.34022;
1.54015e-05;0.153182;-2.42227;
1.57155e-05;-0.00379456;-2.50194;
1.60295e-05;-0.160767;-2.57914;
1.63435e-05;-0.317581;-2.6538;
1.66575e-05;-0.474081;-2.72584;
1.69715e-05;-0.630115;-2.79519;
1.72855e-05;-0.785527;-2.86179;
1.75995e-05;-0.940165;-2.92556;
1.79135e-05;-1.09388;-2.98646;
1.82275e-05;-1.24651;-3.0444;
1.85415e-05;-1.39791;-3.09935;
1.88555e-05;-1.54794;-3.15124;
1.91695e-05;-1.69644;-3.20003;
1.94835e-05;-1.84326;-3.24566;
1.97975e-05;-1.98827;-3.28809;
2.01115e-05;-2.13132;-3.32727;
2.04255e-05;-2.27227;-3.36318;
2.07395e-05;-2.41098;-3.39577;
2.10535e-05;-2.54731;-3.42502;
2.13675e-05;-2.68113;-3.45089;
2.16815e-05;-2.8123;-3.47335;
2.19955e-05;-2.94071;-3.49239;
2.23095e-05;-3.06621;-3.50799;
2.26235e-05;-3.18869;-3.52013;
2.29375e-05;-3.30803;-3.5288;
2.32515e-05;-3.42411;-3.53399;
2.35655e-05;-3.53681;-3.5357;
2.38795e-05;-3.64602;-3.53392;
2.41935e-05;-3.75164;-3.52866;
2.45075e-05;-3.85356;-3.51992;
2.48215e-05;-3.95169;-3.5077;
2.51355e-05;-4.04591;-3.49203;
2.54495e-05;-4.13615;-3.47292;
2.57635e-05;-4.22231;-3.45038;
2.60775e-05;-4.3043;-3.42445;
2.63915e-05;-4.38206;-3.39513;
2.67055e-05;-4.45549;-3.36247;
2.70195e-05;-4.52453;-3.32649;
2.73335e-05;-4.58911;-3.28724;
2.76475e-05;-4.64917;-3.24474;
2.79615e-05;-4.70464;-3.19905;
2.82755e-05;-4.75547;-3.1502;
2.85895e-05;-4.80162;-3.09824;
2.89035e-05;-4.84303;-3.04323;
2.92175e-05;-4.87967;-2.98522;
2.95315e-05;-4.91149;-2.92427;
2.98455e-05;-4.93848;-2.86043;
3.01595e-05;-4.96059;-2.79378;
3.04735e-05;-4.97781;-2.72437;
3.07875e-05;-4.99013;-2.65227;
