frequency;V(/Vo2) (gain);
0.1;-59.954;
0.102329;-59.754;
0.104713;-59.554;
0.107152;-59.354;
0.109648;-59.154;
0.112202;-58.954;
0.114815;-58.754;
0.11749;-58.554;
0.120226;-58.354;
0.123027;-58.154;
0.125893;-57.954;
0.128825;-57.754;
0.131826;-57.554;
0.134896;-57.354;
0.138038;-57.154;
0.141254;-56.954;
0.144544;-56.754;
0.147911;-56.554;
0.151356;-56.354;
0.154882;-56.154;
0.158489;-55.954;
0.162181;-55.754;
0.165959;-55.554;
0.169824;-55.354;
0.17378;-55.154;
0.177828;-54.954;
0.18197;-54.754;
0.186209;-54.554;
0.190546;-54.354;
0.194984;-54.154;
0.199526;-53.954;
0.204174;-53.754;
0.20893;-53.554;
0.213796;-53.354;
0.218776;-53.154;
0.223872;-52.954;
0.229087;-52.754;
0.234423;-52.554;
0.239883;-52.354;
0.245471;-52.154;
0.251189;-51.954;
0.25704;-51.754;
0.263027;-51.554;
0.269153;-51.354;
0.275423;-51.154;
0.281838;-50.954;
0.288403;-50.754;
0.295121;-50.554;
0.301995;-50.354;
0.30903;-50.154;
0.316228;-49.954;
0.323594;-49.754;
0.331131;-49.5541;
0.338844;-49.3541;
0.346737;-49.1541;
0.354813;-48.9541;
0.363078;-48.7541;
0.371535;-48.5541;
0.380189;-48.3541;
0.389045;-48.1541;
0.398107;-47.9541;
0.40738;-47.7541;
0.416869;-47.5541;
0.42658;-47.3541;
0.436516;-47.1541;
0.446684;-46.9541;
0.457088;-46.7541;
0.467735;-46.5541;
0.47863;-46.3541;
0.489779;-46.1541;
0.501187;-45.9541;
0.512861;-45.7541;
0.524807;-45.5541;
0.537032;-45.3541;
0.549541;-45.1541;
0.562341;-44.9541;
0.57544;-44.7541;
0.588844;-44.5542;
0.60256;-44.3542;
0.616595;-44.1542;
0.630957;-43.9542;
0.645654;-43.7542;
0.660693;-43.5542;
0.676083;-43.3542;
0.691831;-43.1542;
0.707946;-42.9542;
0.724436;-42.7542;
0.74131;-42.5542;
0.758578;-42.3543;
0.776247;-42.1543;
0.794328;-41.9543;
0.812831;-41.7543;
0.831764;-41.5543;
0.851138;-41.3543;
0.870964;-41.1543;
0.891251;-40.9544;
0.912011;-40.7544;
0.933254;-40.5544;
0.954993;-40.3544;
0.977237;-40.1544;
1;-39.9544;
1.02329;-39.7545;
1.04713;-39.5545;
1.07152;-39.3545;
1.09648;-39.1545;
1.12202;-38.9546;
1.14815;-38.7546;
1.1749;-38.5546;
1.20226;-38.3546;
1.23027;-38.1547;
1.25893;-37.9547;
1.28825;-37.7547;
1.31826;-37.5548;
1.34896;-37.3548;
1.38038;-37.1548;
1.41254;-36.9549;
1.44544;-36.7549;
1.47911;-36.555;
1.51356;-36.355;
1.54882;-36.1551;
1.58489;-35.9551;
1.62181;-35.7552;
1.65959;-35.5552;
1.69824;-35.3553;
1.7378;-35.1553;
1.77828;-34.9554;
1.8197;-34.7555;
1.86209;-34.5555;
1.90546;-34.3556;
1.94984;-34.1557;
1.99526;-33.9557;
2.04174;-33.7558;
2.0893;-33.5559;
2.13796;-33.356;
2.18776;-33.1561;
2.23872;-32.9562;
2.29087;-32.7563;
2.34423;-32.5564;
2.39883;-32.3565;
2.45471;-32.1566;
2.51189;-31.9568;
2.5704;-31.7569;
2.63027;-31.557;
2.69153;-31.3572;
2.75423;-31.1573;
2.81838;-30.9575;
2.88403;-30.7577;
2.95121;-30.5578;
3.01995;-30.358;
3.0903;-30.1582;
3.16228;-29.9584;
3.23594;-29.7586;
3.31131;-29.5588;
3.38844;-29.359;
3.46737;-29.1593;
3.54813;-28.9595;
3.63078;-28.7598;
3.71535;-28.5601;
3.80189;-28.3603;
3.89045;-28.1606;
3.98107;-27.961;
4.0738;-27.7613;
4.16869;-27.5616;
4.2658;-27.362;
4.36516;-27.1624;
4.46684;-26.9628;
4.57088;-26.7632;
4.67735;-26.5636;
4.7863;-26.364;
4.89779;-26.1645;
5.01187;-25.965;
5.12861;-25.7655;
5.24807;-25.5661;
5.37032;-25.3666;
5.49541;-25.1672;
5.62341;-24.9679;
5.7544;-24.7685;
5.88844;-24.5692;
6.0256;-24.3699;
6.16595;-24.1707;
6.30957;-23.9714;
6.45654;-23.7723;
6.60693;-23.5731;
6.76083;-23.374;
6.91831;-23.175;
7.07946;-22.9759;
7.24436;-22.777;
7.4131;-22.5781;
7.58578;-22.3792;
7.76247;-22.1804;
7.94328;-21.9816;
8.12831;-21.7829;
8.31764;-21.5843;
8.51138;-21.3857;
8.70964;-21.1872;
8.91251;-20.9887;
9.12011;-20.7904;
9.33254;-20.5921;
9.54993;-20.3938;
9.77237;-20.1957;
10;-19.9977;
10.2329;-19.7997;
10.4713;-19.6019;
10.7152;-19.4041;
10.9648;-19.2065;
11.2202;-19.0089;
11.4815;-18.8115;
11.749;-18.6142;
12.0226;-18.417;
12.3027;-18.2199;
12.5893;-18.023;
12.8825;-17.8262;
13.1826;-17.6296;
13.4896;-17.4331;
13.8038;-17.2368;
14.1254;-17.0407;
14.4544;-16.8448;
14.7911;-16.649;
15.1356;-16.4534;
15.4882;-16.258;
15.8489;-16.0629;
16.2181;-15.8679;
16.5959;-15.6732;
16.9824;-15.4788;
17.378;-15.2846;
17.7828;-15.0906;
18.197;-14.897;
18.6209;-14.7036;
19.0546;-14.5105;
19.4984;-14.3177;
19.9526;-14.1253;
20.4174;-13.9332;
20.893;-13.7415;
21.3796;-13.5501;
21.8776;-13.3592;
22.3872;-13.1686;
22.9087;-12.9784;
23.4423;-12.7887;
23.9883;-12.5995;
24.5471;-12.4107;
25.1189;-12.2225;
25.704;-12.0347;
26.3027;-11.8475;
26.9153;-11.6609;
27.5423;-11.4748;
28.1838;-11.2894;
28.8403;-11.1045;
29.5121;-10.9204;
30.1995;-10.7369;
30.903;-10.5542;
31.6228;-10.3721;
32.3594;-10.1909;
33.1131;-10.0104;
33.8844;-9.83079;
34.6737;-9.65202;
35.4813;-9.47414;
36.3078;-9.29718;
37.1535;-9.12118;
38.0189;-8.94616;
38.9045;-8.77217;
39.8107;-8.59924;
40.738;-8.42741;
41.6869;-8.25671;
42.658;-8.08718;
43.6516;-7.91886;
44.6684;-7.75179;
45.7088;-7.586;
46.7735;-7.42154;
47.863;-7.25844;
48.9779;-7.09675;
50.1187;-6.9365;
51.2861;-6.77775;
52.4807;-6.62052;
53.7032;-6.46486;
54.9541;-6.31081;
56.2341;-6.15841;
57.544;-6.0077;
58.8844;-5.85872;
60.256;-5.71151;
61.6595;-5.56611;
63.0957;-5.42255;
64.5654;-5.28088;
66.0693;-5.14114;
67.6083;-5.00334;
69.1831;-4.86754;
70.7946;-4.73376;
72.4436;-4.60204;
74.131;-4.4724;
75.8578;-4.34488;
77.6247;-4.2195;
79.4328;-4.09628;
81.2831;-3.97526;
83.1764;-3.85644;
85.1138;-3.73986;
87.0964;-3.62552;
89.1251;-3.51344;
91.2011;-3.40364;
93.3254;-3.29613;
95.4993;-3.19091;
97.7237;-3.08798;
100;-2.98736;
102.329;-2.88904;
104.713;-2.79302;
107.152;-2.6993;
109.648;-2.60787;
112.202;-2.51872;
114.815;-2.43183;
117.49;-2.34721;
120.226;-2.26482;
123.027;-2.18465;
125.893;-2.10669;
128.825;-2.0309;
131.826;-1.95727;
134.896;-1.88577;
138.038;-1.81637;
141.254;-1.74905;
144.544;-1.68376;
147.911;-1.62048;
151.356;-1.55918;
154.882;-1.49982;
158.489;-1.44236;
162.181;-1.38676;
165.959;-1.333;
169.824;-1.28103;
173.78;-1.23081;
177.828;-1.1823;
181.97;-1.13547;
186.209;-1.09026;
190.546;-1.04665;
194.984;-1.00459;
199.526;-0.964033;
204.174;-0.924947;
208.93;-0.887289;
213.796;-0.851019;
218.776;-0.816096;
223.872;-0.78248;
229.087;-0.750133;
234.423;-0.719015;
239.883;-0.689088;
245.471;-0.660314;
251.189;-0.632656;
257.04;-0.606078;
263.027;-0.580543;
