frequency;V(/Vo3) (gain);
0.1;-56.1825;
0.102329;-55.9825;
0.104713;-55.7825;
0.107152;-55.5825;
0.109648;-55.3825;
0.112202;-55.1825;
0.114815;-54.9825;
0.11749;-54.7825;
0.120226;-54.5825;
0.123027;-54.3825;
0.125893;-54.1825;
0.128825;-53.9825;
0.131826;-53.7825;
0.134896;-53.5825;
0.138038;-53.3825;
0.141254;-53.1825;
0.144544;-52.9825;
0.147911;-52.7825;
0.151356;-52.5825;
0.154882;-52.3825;
0.158489;-52.1825;
0.162181;-51.9825;
0.165959;-51.7825;
0.169824;-51.5825;
0.17378;-51.3825;
0.177828;-51.1825;
0.18197;-50.9825;
0.186209;-50.7825;
0.190546;-50.5825;
0.194984;-50.3825;
0.199526;-50.1825;
0.204174;-49.9825;
0.20893;-49.7825;
0.213796;-49.5825;
0.218776;-49.3825;
0.223872;-49.1825;
0.229087;-48.9825;
0.234423;-48.7825;
0.239883;-48.5825;
0.245471;-48.3825;
0.251189;-48.1825;
0.25704;-47.9825;
0.263027;-47.7825;
0.269153;-47.5825;
0.275423;-47.3825;
0.281838;-47.1825;
0.288403;-46.9825;
0.295121;-46.7826;
0.301995;-46.5826;
0.30903;-46.3826;
0.316228;-46.1826;
0.323594;-45.9826;
0.331131;-45.7826;
0.338844;-45.5826;
0.346737;-45.3826;
0.354813;-45.1826;
0.363078;-44.9826;
0.371535;-44.7826;
0.380189;-44.5826;
0.389045;-44.3826;
0.398107;-44.1826;
0.40738;-43.9826;
0.416869;-43.7826;
0.42658;-43.5826;
0.436516;-43.3827;
0.446684;-43.1827;
0.457088;-42.9827;
0.467735;-42.7827;
0.47863;-42.5827;
0.489779;-42.3827;
0.501187;-42.1827;
0.512861;-41.9827;
0.524807;-41.7827;
0.537032;-41.5828;
0.549541;-41.3828;
0.562341;-41.1828;
0.57544;-40.9828;
0.588844;-40.7828;
0.60256;-40.5828;
0.616595;-40.3828;
0.630957;-40.1829;
0.645654;-39.9829;
0.660693;-39.7829;
0.676083;-39.5829;
0.691831;-39.3829;
0.707946;-39.183;
0.724436;-38.983;
0.74131;-38.783;
0.758578;-38.583;
0.776247;-38.3831;
0.794328;-38.1831;
0.812831;-37.9831;
0.831764;-37.7832;
0.851138;-37.5832;
0.870964;-37.3832;
0.891251;-37.1833;
0.912011;-36.9833;
0.933254;-36.7833;
0.954993;-36.5834;
0.977237;-36.3834;
1;-36.1835;
1.02329;-35.9835;
1.04713;-35.7836;
1.07152;-35.5836;
1.09648;-35.3837;
1.12202;-35.1837;
1.14815;-34.9838;
1.1749;-34.7839;
1.20226;-34.5839;
1.23027;-34.384;
1.25893;-34.1841;
1.28825;-33.9841;
1.31826;-33.7842;
1.34896;-33.5843;
1.38038;-33.3844;
1.41254;-33.1845;
1.44544;-32.9846;
1.47911;-32.7847;
1.51356;-32.5848;
1.54882;-32.3849;
1.58489;-32.185;
1.62181;-31.9851;
1.65959;-31.7852;
1.69824;-31.5854;
1.7378;-31.3855;
1.77828;-31.1857;
1.8197;-30.9858;
1.86209;-30.786;
1.90546;-30.5861;
1.94984;-30.3863;
1.99526;-30.1865;
2.04174;-29.9867;
2.0893;-29.7869;
2.13796;-29.5871;
2.18776;-29.3873;
2.23872;-29.1875;
2.29087;-28.9878;
2.34423;-28.788;
2.39883;-28.5883;
2.45471;-28.3886;
2.51189;-28.1888;
2.5704;-27.9891;
2.63027;-27.7895;
2.69153;-27.5898;
2.75423;-27.3901;
2.81838;-27.1905;
2.88403;-26.9909;
2.95121;-26.7913;
3.01995;-26.5917;
3.0903;-26.3921;
3.16228;-26.1926;
3.23594;-25.993;
3.31131;-25.7935;
3.38844;-25.5941;
3.46737;-25.3946;
3.54813;-25.1952;
3.63078;-24.9958;
3.71535;-24.7964;
3.80189;-24.5971;
3.89045;-24.3977;
3.98107;-24.1985;
4.0738;-23.9992;
4.16869;-23.8;
4.2658;-23.6008;
4.36516;-23.4017;
4.46684;-23.2026;
4.57088;-23.0036;
4.67735;-22.8045;
4.7863;-22.6056;
4.89779;-22.4067;
5.01187;-22.2078;
5.12861;-22.009;
5.24807;-21.8102;
5.37032;-21.6115;
5.49541;-21.4129;
5.62341;-21.2143;
5.7544;-21.0158;
5.88844;-20.8174;
6.0256;-20.619;
6.16595;-20.4208;
6.30957;-20.2226;
6.45654;-20.0244;
6.60693;-19.8264;
6.76083;-19.6285;
6.91831;-19.4306;
7.07946;-19.2329;
7.24436;-19.0352;
7.4131;-18.8377;
7.58578;-18.6403;
7.76247;-18.443;
7.94328;-18.2458;
8.12831;-18.0488;
8.31764;-17.8519;
8.51138;-17.6551;
8.70964;-17.4585;
8.91251;-17.2621;
9.12011;-17.0658;
9.33254;-16.8697;
9.54993;-16.6738;
9.77237;-16.478;
10;-16.2825;
10.2329;-16.0871;
10.4713;-15.892;
10.7152;-15.6971;
10.9648;-15.5024;
11.2202;-15.308;
11.4815;-15.1138;
11.749;-14.9199;
12.0226;-14.7263;
12.3027;-14.533;
12.5893;-14.3399;
12.8825;-14.1472;
13.1826;-13.9548;
13.4896;-13.7628;
13.8038;-13.5711;
14.1254;-13.3798;
14.4544;-13.1889;
14.7911;-12.9984;
15.1356;-12.8083;
15.4882;-12.6186;
15.8489;-12.4294;
16.2181;-12.2407;
16.5959;-12.0525;
16.9824;-11.8649;
17.378;-11.6777;
17.7828;-11.4912;
18.197;-11.3052;
18.6209;-11.1198;
19.0546;-10.9351;
19.4984;-10.751;
19.9526;-10.5677;
20.4174;-10.385;
20.893;-10.2031;
21.3796;-10.0219;
21.8776;-9.84158;
22.3872;-9.66206;
22.9087;-9.48341;
23.4423;-9.30565;
23.9883;-9.12882;
24.5471;-8.95295;
25.1189;-8.77807;
25.704;-8.60422;
26.3027;-8.43144;
26.9153;-8.25976;
27.5423;-8.08922;
28.1838;-7.91985;
28.8403;-7.7517;
29.5121;-7.58479;
30.1995;-7.41919;
30.903;-7.25491;
31.6228;-7.092;
32.3594;-6.93051;
33.1131;-6.77047;
33.8844;-6.61192;
34.6737;-6.4549;
35.4813;-6.29946;
36.3078;-6.14564;
37.1535;-5.99347;
38.0189;-5.843;
38.9045;-5.69426;
39.8107;-5.5473;
40.738;-5.40215;
41.6869;-5.25886;
42.658;-5.11746;
43.6516;-4.97798;
44.6684;-4.84047;
45.7088;-4.70495;
46.7735;-4.57146;
47.863;-4.44003;
48.9779;-4.31069;
50.1187;-4.18348;
51.2861;-4.0584;
52.4807;-3.9355;
53.7032;-3.8148;
54.9541;-3.6963;
56.2341;-3.58005;
57.544;-3.46604;
58.8844;-3.3543;
60.256;-3.24484;
61.6595;-3.13767;
63.0957;-3.03279;
64.5654;-2.93022;
66.0693;-2.82995;
67.6083;-2.73198;
69.1831;-2.63632;
70.7946;-2.54295;
72.4436;-2.45188;
74.131;-2.36309;
75.8578;-2.27657;
77.6247;-2.19231;
79.4328;-2.11029;
81.2831;-2.03049;
83.1764;-1.9529;
85.1138;-1.87748;
87.0964;-1.80423;
89.1251;-1.7331;
91.2011;-1.66408;
93.3254;-1.59712;
95.4993;-1.53221;
97.7237;-1.46932;
100;-1.40839;
102.329;-1.34941;
104.713;-1.29234;
107.152;-1.23713;
109.648;-1.18376;
112.202;-1.13218;
114.815;-1.08235;
117.49;-1.03424;
120.226;-0.987801;
123.027;-0.943;
125.893;-0.899794;
128.825;-0.858142;
131.826;-0.818005;
134.896;-0.779341;
138.038;-0.742112;
141.254;-0.706276;
144.544;-0.671795;
147.911;-0.63863;
151.356;-0.606741;
154.882;-0.576091;
158.489;-0.546641;
162.181;-0.518355;
165.959;-0.491197;
169.824;-0.46513;
173.78;-0.44012;
177.828;-0.416132;
181.97;-0.393133;
186.209;-0.371091;
190.546;-0.349973;
194.984;-0.329748;
199.526;-0.310386;
204.174;-0.291859;
208.93;-0.274136;
213.796;-0.257192;
218.776;-0.240998;
223.872;-0.22553;
229.087;-0.210762;
234.423;-0.19667;
239.883;-0.183231;
245.471;-0.170423;
251.189;-0.158223;
257.04;-0.146611;
263.027;-0.135567;
269.153;-0.125073;
275.423;-0.115109;
281.838;-0.105659;
288.403;-0.0967053;
295.121;-0.0882323;
301.995;-0.0802248;
309.03;-0.0726685;
316.228;-0.0655495;
323.594;-0.0588551;
331.131;-0.0525728;
338.844;-0.0466912;
346.737;-0.0411994;
354.813;-0.0360873;
363.078;-0.0313453;
371.535;-0.0269645;
380.189;-0.0229368;
389.045;-0.0192546;
398.107;-0.0159109;
407.38;-0.0128995;
416.869;-0.0102146;
426.58;-0.00785122;
436.516;-0.00580474;
446.684;-0.00407132;
457.088;-0.00264766;
467.735;-0.00153104;
478.63;-0.000719326;
489.779;-0.000210971;
501.187;-5.00138e-06;
512.861;-0.000101023;
524.807;-0.00049922;
537.032;-0.00120035;
549.541;-0.00220576;
562.341;-0.00351737;
575.44;-0.00513768;
588.844;-0.00706977;
602.56;-0.00931734;
616.595;-0.0118846;
630.957;-0.0147766;
645.654;-0.0179986;
660.693;-0.0215568;
676.083;-0.0254579;
