frequency;V(/Vo1) (gain);
0.1;-4.38919e-08;
0.102329;-4.59604e-08;
0.104713;-4.81265e-08;
0.107152;-5.03946e-08;
0.109648;-5.27696e-08;
0.112202;-5.52566e-08;
0.114815;-5.78607e-08;
0.11749;-6.05876e-08;
0.120226;-6.3443e-08;
0.123027;-6.6433e-08;
0.125893;-6.95639e-08;
0.128825;-7.28424e-08;
0.131826;-7.62753e-08;
0.134896;-7.98701e-08;
0.138038;-8.36342e-08;
0.141254;-8.75758e-08;
0.144544;-9.17031e-08;
0.147911;-9.60249e-08;
0.151356;-1.0055e-07;
0.154882;-1.05289e-07;
0.158489;-1.10251e-07;
0.162181;-1.15447e-07;
0.165959;-1.20888e-07;
0.169824;-1.26586e-07;
0.17378;-1.32551e-07;
0.177828;-1.38798e-07;
0.18197;-1.4534e-07;
0.186209;-1.52189e-07;
0.190546;-1.59362e-07;
0.194984;-1.66872e-07;
0.199526;-1.74737e-07;
0.204174;-1.82972e-07;
0.20893;-1.91595e-07;
0.213796;-2.00625e-07;
0.218776;-2.1008e-07;
0.223872;-2.1998e-07;
0.229087;-2.30348e-07;
0.234423;-2.41204e-07;
0.239883;-2.52571e-07;
0.245471;-2.64475e-07;
0.251189;-2.76939e-07;
0.25704;-2.89991e-07;
0.263027;-3.03657e-07;
0.269153;-3.17968e-07;
0.275423;-3.32954e-07;
0.281838;-3.48645e-07;
0.288403;-3.65077e-07;
0.295121;-3.82282e-07;
0.301995;-4.00299e-07;
0.30903;-4.19164e-07;
0.316228;-4.38919e-07;
0.323594;-4.59604e-07;
0.331131;-4.81265e-07;
0.338844;-5.03946e-07;
0.346737;-5.27696e-07;
0.354813;-5.52566e-07;
0.363078;-5.78607e-07;
0.371535;-6.05876e-07;
0.380189;-6.3443e-07;
0.389045;-6.6433e-07;
0.398107;-6.95639e-07;
0.40738;-7.28424e-07;
0.416869;-7.62753e-07;
0.42658;-7.98701e-07;
0.436516;-8.36342e-07;
0.446684;-8.75758e-07;
0.457088;-9.17031e-07;
0.467735;-9.60249e-07;
0.47863;-1.0055e-06;
0.489779;-1.05289e-06;
0.501187;-1.10251e-06;
0.512861;-1.15447e-06;
0.524807;-1.20888e-06;
0.537032;-1.26585e-06;
0.549541;-1.32551e-06;
0.562341;-1.38798e-06;
0.57544;-1.4534e-06;
0.588844;-1.52189e-06;
0.60256;-1.59362e-06;
0.616595;-1.66872e-06;
0.630957;-1.74737e-06;
0.645654;-1.82972e-06;
0.660693;-1.91595e-06;
0.676083;-2.00624e-06;
0.691831;-2.1008e-06;
0.707946;-2.1998e-06;
0.724436;-2.30348e-06;
0.74131;-2.41204e-06;
0.758578;-2.52571e-06;
0.776247;-2.64475e-06;
0.794328;-2.76939e-06;
0.812831;-2.89991e-06;
0.831764;-3.03657e-06;
0.851138;-3.17968e-06;
0.870964;-3.32954e-06;
0.891251;-3.48645e-06;
0.912011;-3.65076e-06;
0.933254;-3.82282e-06;
0.954993;-4.00298e-06;
0.977237;-4.19164e-06;
1;-4.38918e-06;
1.02329;-4.59604e-06;
1.04713;-4.81264e-06;
1.07152;-5.03946e-06;
1.09648;-5.27696e-06;
1.12202;-5.52565e-06;
1.14815;-5.78607e-06;
1.1749;-6.05876e-06;
1.20226;-6.3443e-06;
1.23027;-6.6433e-06;
1.25893;-6.95639e-06;
1.28825;-7.28423e-06;
1.31826;-7.62752e-06;
1.34896;-7.987e-06;
1.38038;-8.36341e-06;
1.41254;-8.75757e-06;
1.44544;-9.1703e-06;
1.47911;-9.60248e-06;
1.51356;-1.0055e-05;
1.54882;-1.05289e-05;
1.58489;-1.10251e-05;
1.62181;-1.15447e-05;
1.65959;-1.20888e-05;
1.69824;-1.26585e-05;
1.7378;-1.32551e-05;
1.77828;-1.38798e-05;
1.8197;-1.45339e-05;
1.86209;-1.52189e-05;
1.90546;-1.59361e-05;
1.94984;-1.66872e-05;
1.99526;-1.74736e-05;
2.04174;-1.82971e-05;
2.0893;-1.91595e-05;
2.13796;-2.00624e-05;
2.18776;-2.10079e-05;
2.23872;-2.1998e-05;
2.29087;-2.30347e-05;
2.34423;-2.41203e-05;
2.39883;-2.52571e-05;
2.45471;-2.64474e-05;
2.51189;-2.76938e-05;
2.5704;-2.8999e-05;
2.63027;-3.03656e-05;
2.69153;-3.17967e-05;
2.75423;-3.32953e-05;
2.81838;-3.48644e-05;
2.88403;-3.65075e-05;
2.95121;-3.8228e-05;
3.01995;-4.00297e-05;
3.0903;-4.19162e-05;
3.16228;-4.38916e-05;
3.23594;-4.59602e-05;
3.31131;-4.81262e-05;
3.38844;-5.03943e-05;
3.46737;-5.27693e-05;
3.54813;-5.52562e-05;
3.63078;-5.78604e-05;
3.71535;-6.05872e-05;
3.80189;-6.34426e-05;
3.89045;-6.64325e-05;
3.98107;-6.95634e-05;
4.0738;-7.28418e-05;
4.16869;-7.62746e-05;
4.2658;-7.98693e-05;
4.36516;-8.36334e-05;
4.46684;-8.75749e-05;
4.57088;-9.17021e-05;
4.67735;-9.60239e-05;
4.7863;-0.000100549;
4.89779;-0.000105288;
5.01187;-0.00011025;
5.12861;-0.000115446;
5.24807;-0.000120887;
5.37032;-0.000126584;
5.49541;-0.000132549;
5.62341;-0.000138796;
5.7544;-0.000145337;
5.88844;-0.000152187;
6.0256;-0.000159359;
6.16595;-0.000166869;
6.30957;-0.000174733;
6.45654;-0.000182968;
6.60693;-0.000191591;
6.76083;-0.00020062;
6.91831;-0.000210075;
7.07946;-0.000219975;
7.24436;-0.000230342;
7.4131;-0.000241197;
7.58578;-0.000252564;
7.76247;-0.000264467;
7.94328;-0.00027693;
8.12831;-0.000289981;
8.31764;-0.000303647;
8.51138;-0.000317957;
8.70964;-0.000332941;
8.91251;-0.000348631;
9.12011;-0.000365061;
9.33254;-0.000382265;
9.54993;-0.00040028;
9.77237;-0.000419144;
10;-0.000438896;
10.2329;-0.00045958;
10.4713;-0.000481238;
10.7152;-0.000503917;
10.9648;-0.000527664;
11.2202;-0.000552531;
11.4815;-0.000578569;
11.749;-0.000605834;
12.0226;-0.000634384;
12.3027;-0.000664279;
12.5893;-0.000695583;
12.8825;-0.000728363;
13.1826;-0.000762686;
13.4896;-0.000798627;
13.8038;-0.000836262;
14.1254;-0.00087567;
14.4544;-0.000916934;
14.7911;-0.000960143;
15.1356;-0.00100539;
15.4882;-0.00105276;
15.8489;-0.00110237;
16.2181;-0.00115432;
16.5959;-0.00120871;
16.9824;-0.00126567;
17.378;-0.00132531;
17.7828;-0.00138776;
18.197;-0.00145315;
18.6209;-0.00152163;
19.0546;-0.00159332;
19.4984;-0.0016684;
19.9526;-0.00174702;
20.4174;-0.00182933;
20.893;-0.00191553;
21.3796;-0.00200578;
21.8776;-0.00210029;
22.3872;-0.00219925;
22.9087;-0.00230287;
23.4423;-0.00241137;
23.9883;-0.00252498;
24.5471;-0.00264394;
25.1189;-0.00276851;
25.704;-0.00289894;
26.3027;-0.00303551;
26.9153;-0.00317852;
27.5423;-0.00332826;
28.1838;-0.00348506;
28.8403;-0.00364923;
29.5121;-0.00382114;
30.1995;-0.00400114;
30.903;-0.00418962;
31.6228;-0.00438697;
32.3594;-0.00459361;
33.1131;-0.00480998;
33.8844;-0.00503654;
34.6737;-0.00527376;
35.4813;-0.00552215;
36.3078;-0.00578222;
37.1535;-0.00605454;
38.0189;-0.00633967;
38.9045;-0.00663823;
39.8107;-0.00695083;
40.738;-0.00727813;
41.6869;-0.00762084;
42.658;-0.00797967;
43.6516;-0.00835538;
44.6684;-0.00874876;
45.7088;-0.00916064;
46.7735;-0.00959189;
47.863;-0.0100434;
48.9779;-0.0105162;
50.1187;-0.0110112;
51.2861;-0.0115294;
52.4807;-0.012072;
53.7032;-0.0126401;
54.9541;-0.0132349;
56.2341;-0.0138577;
57.544;-0.0145097;
58.8844;-0.0151923;
60.256;-0.015907;
61.6595;-0.0166552;
63.0957;-0.0174386;
64.5654;-0.0182587;
66.0693;-0.0191174;
67.6083;-0.0200163;
69.1831;-0.0209573;
70.7946;-0.0219425;
72.4436;-0.0229739;
74.131;-0.0240536;
75.8578;-0.025184;
77.6247;-0.0263673;
79.4328;-0.027606;
81.2831;-0.0289027;
83.1764;-0.0302601;
85.1138;-0.031681;
87.0964;-0.0331684;
89.1251;-0.0347253;
91.2011;-0.0363551;
93.3254;-0.0380609;
95.4993;-0.0398465;
97.7237;-0.0417154;
100;-0.0436715;
102.329;-0.0457189;
104.713;-0.0478618;
107.152;-0.0501045;
109.648;-0.0524516;
112.202;-0.054908;
114.815;-0.0574787;
117.49;-0.0601689;
120.226;-0.0629841;
123.027;-0.06593;
125.893;-0.0690127;
128.825;-0.0722382;
131.826;-0.0756132;
134.896;-0.0791445;
138.038;-0.0828391;
