frequency;V(/Vo3) (gain);
0.1;-87.1344;
0.102329;-86.9344;
0.104713;-86.7344;
0.107152;-86.5344;
0.109648;-86.3344;
0.112202;-86.1344;
0.114815;-85.9344;
0.11749;-85.7344;
0.120226;-85.5344;
0.123027;-85.3344;
0.125893;-85.1344;
0.128825;-84.9344;
0.131826;-84.7344;
0.134896;-84.5344;
0.138038;-84.3344;
0.141254;-84.1344;
0.144544;-83.9344;
0.147911;-83.7344;
0.151356;-83.5344;
0.154882;-83.3344;
0.158489;-83.1344;
0.162181;-82.9344;
0.165959;-82.7344;
0.169824;-82.5344;
0.17378;-82.3344;
0.177828;-82.1344;
0.18197;-81.9344;
0.186209;-81.7344;
0.190546;-81.5344;
0.194984;-81.3344;
0.199526;-81.1344;
0.204174;-80.9344;
0.20893;-80.7344;
0.213796;-80.5344;
0.218776;-80.3344;
0.223872;-80.1344;
0.229087;-79.9344;
0.234423;-79.7344;
0.239883;-79.5344;
0.245471;-79.3344;
0.251189;-79.1344;
0.25704;-78.9344;
0.263027;-78.7344;
0.269153;-78.5344;
0.275423;-78.3344;
0.281838;-78.1344;
0.288403;-77.9344;
0.295121;-77.7344;
0.301995;-77.5344;
0.30903;-77.3344;
0.316228;-77.1344;
0.323594;-76.9344;
0.331131;-76.7344;
0.338844;-76.5344;
0.346737;-76.3344;
0.354813;-76.1344;
0.363078;-75.9344;
0.371535;-75.7344;
0.380189;-75.5344;
0.389045;-75.3344;
0.398107;-75.1344;
0.40738;-74.9344;
0.416869;-74.7344;
0.42658;-74.5344;
0.436516;-74.3344;
0.446684;-74.1344;
0.457088;-73.9344;
0.467735;-73.7344;
0.47863;-73.5344;
0.489779;-73.3344;
0.501187;-73.1344;
0.512861;-72.9344;
0.524807;-72.7344;
0.537032;-72.5344;
0.549541;-72.3344;
0.562341;-72.1344;
0.57544;-71.9344;
0.588844;-71.7344;
0.60256;-71.5344;
0.616595;-71.3344;
0.630957;-71.1344;
0.645654;-70.9344;
0.660693;-70.7344;
0.676083;-70.5344;
0.691831;-70.3344;
0.707946;-70.1344;
0.724436;-69.9344;
0.74131;-69.7344;
0.758578;-69.5344;
0.776247;-69.3344;
0.794328;-69.1344;
0.812831;-68.9344;
0.831764;-68.7344;
0.851138;-68.5344;
0.870964;-68.3344;
0.891251;-68.1344;
0.912011;-67.9344;
0.933254;-67.7344;
0.954993;-67.5344;
0.977237;-67.3344;
1;-67.1344;
1.02329;-66.9344;
1.04713;-66.7344;
1.07152;-66.5344;
1.09648;-66.3344;
1.12202;-66.1344;
1.14815;-65.9344;
1.1749;-65.7344;
1.20226;-65.5344;
1.23027;-65.3344;
1.25893;-65.1344;
1.28825;-64.9344;
1.31826;-64.7344;
1.34896;-64.5344;
1.38038;-64.3344;
1.41254;-64.1344;
1.44544;-63.9344;
1.47911;-63.7344;
1.51356;-63.5344;
1.54882;-63.3344;
1.58489;-63.1344;
1.62181;-62.9344;
1.65959;-62.7343;
1.69824;-62.5343;
1.7378;-62.3343;
1.77828;-62.1343;
1.8197;-61.9343;
1.86209;-61.7343;
1.90546;-61.5343;
1.94984;-61.3343;
1.99526;-61.1343;
2.04174;-60.9343;
2.0893;-60.7343;
2.13796;-60.5343;
2.18776;-60.3343;
2.23872;-60.1343;
2.29087;-59.9343;
2.34423;-59.7343;
2.39883;-59.5342;
2.45471;-59.3342;
2.51189;-59.1342;
2.5704;-58.9342;
2.63027;-58.7342;
2.69153;-58.5342;
2.75423;-58.3342;
2.81838;-58.1342;
2.88403;-57.9342;
2.95121;-57.7342;
3.01995;-57.5341;
3.0903;-57.3341;
3.16228;-57.1341;
3.23594;-56.9341;
3.31131;-56.7341;
3.38844;-56.5341;
3.46737;-56.334;
3.54813;-56.134;
3.63078;-55.934;
3.71535;-55.734;
3.80189;-55.534;
3.89045;-55.3339;
3.98107;-55.1339;
4.0738;-54.9339;
4.16869;-54.7339;
4.2658;-54.5338;
4.36516;-54.3338;
4.46684;-54.1338;
4.57088;-53.9337;
4.67735;-53.7337;
4.7863;-53.5337;
4.89779;-53.3336;
5.01187;-53.1336;
5.12861;-52.9336;
5.24807;-52.7335;
5.37032;-52.5335;
5.49541;-52.3334;
5.62341;-52.1334;
5.7544;-51.9333;
5.88844;-51.7333;
6.0256;-51.5332;
6.16595;-51.3332;
6.30957;-51.1331;
6.45654;-50.933;
6.60693;-50.733;
6.76083;-50.5329;
6.91831;-50.3328;
7.07946;-50.1328;
7.24436;-49.9327;
7.4131;-49.7326;
7.58578;-49.5325;
7.76247;-49.3324;
7.94328;-49.1323;
8.12831;-48.9322;
8.31764;-48.7321;
8.51138;-48.532;
8.70964;-48.3319;
8.91251;-48.1318;
9.12011;-47.9317;
9.33254;-47.7315;
9.54993;-47.5314;
9.77237;-47.3312;
10;-47.1311;
10.2329;-46.9309;
10.4713;-46.7308;
10.7152;-46.5306;
10.9648;-46.3304;
11.2202;-46.1302;
11.4815;-45.93;
11.749;-45.7298;
12.0226;-45.5296;
12.3027;-45.3294;
12.5893;-45.1291;
12.8825;-44.9289;
13.1826;-44.7286;
13.4896;-44.5284;
13.8038;-44.3281;
14.1254;-44.1278;
14.4544;-43.9275;
14.7911;-43.7271;
15.1356;-43.5268;
15.4882;-43.3264;
15.8489;-43.126;
16.2181;-42.9256;
16.5959;-42.7252;
16.9824;-42.5248;
17.378;-42.3243;
17.7828;-42.1239;
