frequency;V(/Vo4) (gain);
0.1;-9.6441e-05;
0.102329;-0.000100986;
0.104713;-0.000105745;
0.107152;-0.000110729;
0.109648;-0.000115947;
0.112202;-0.000121412;
0.114815;-0.000127134;
0.11749;-0.000133125;
0.120226;-0.000139399;
0.123027;-0.000145969;
0.125893;-0.000152848;
0.128825;-0.000160051;
0.131826;-0.000167594;
0.134896;-0.000175492;
0.138038;-0.000183763;
0.141254;-0.000192423;
0.144544;-0.000201491;
0.147911;-0.000210987;
0.151356;-0.000220931;
0.154882;-0.000231342;
0.158489;-0.000242245;
0.162181;-0.000253661;
0.165959;-0.000265616;
0.169824;-0.000278133;
0.17378;-0.000291241;
0.177828;-0.000304966;
0.18197;-0.000319338;
0.186209;-0.000334388;
0.190546;-0.000350146;
0.194984;-0.000366647;
0.199526;-0.000383926;
0.204174;-0.000402019;
0.20893;-0.000420965;
0.213796;-0.000440803;
0.218776;-0.000461577;
0.223872;-0.000483329;
0.229087;-0.000506106;
0.234423;-0.000529957;
0.239883;-0.000554931;
0.245471;-0.000581083;
0.251189;-0.000608467;
0.25704;-0.000637141;
0.263027;-0.000667166;
0.269153;-0.000698606;
0.275423;-0.000731527;
0.281838;-0.000766;
0.288403;-0.000802098;
0.295121;-0.000839896;
0.301995;-0.000879475;
0.30903;-0.000920919;
0.316228;-0.000964316;
0.323594;-0.00100976;
0.331131;-0.00105734;
0.338844;-0.00110716;
0.346737;-0.00115934;
0.354813;-0.00121397;
0.363078;-0.00127117;
0.371535;-0.00133107;
0.380189;-0.00139379;
0.389045;-0.00145947;
0.398107;-0.00152824;
0.40738;-0.00160025;
0.416869;-0.00167565;
0.42658;-0.00175461;
0.436516;-0.00183728;
0.446684;-0.00192385;
0.457088;-0.0020145;
0.467735;-0.00210942;
0.47863;-0.00220881;
0.489779;-0.00231288;
0.501187;-0.00242185;
0.512861;-0.00253596;
0.524807;-0.00265544;
0.537032;-0.00278055;
0.549541;-0.00291155;
0.562341;-0.00304872;
0.57544;-0.00319234;
0.588844;-0.00334274;
0.60256;-0.00350021;
0.616595;-0.00366511;
0.630957;-0.00383776;
0.645654;-0.00401855;
0.660693;-0.00420785;
0.676083;-0.00440606;
0.691831;-0.0046136;
0.707946;-0.00483091;
0.724436;-0.00505846;
0.74131;-0.00529671;
0.758578;-0.00554618;
0.776247;-0.00580739;
0.794328;-0.0060809;
0.812831;-0.00636728;
0.831764;-0.00666713;
0.851138;-0.0069811;
0.870964;-0.00730983;
0.891251;-0.00765404;
0.912011;-0.00801444;
0.933254;-0.00839179;
0.954993;-0.00878689;
0.977237;-0.00920057;
1;-0.00963371;
1.02329;-0.0100872;
1.04713;-0.010562;
1.07152;-0.0110592;
1.09648;-0.0115797;
1.12202;-0.0121247;
1.14815;-0.0126953;
1.1749;-0.0132927;
1.20226;-0.0139182;
1.23027;-0.0145731;
1.25893;-0.0152587;
1.28825;-0.0159765;
1.31826;-0.016728;
1.34896;-0.0175148;
1.38038;-0.0183386;
1.41254;-0.019201;
1.44544;-0.0201038;
1.47911;-0.021049;
1.51356;-0.0220386;
1.54882;-0.0230745;
1.58489;-0.024159;
1.62181;-0.0252944;
1.65959;-0.0264829;
1.69824;-0.0277271;
1.7378;-0.0290295;
1.77828;-0.030393;
1.8197;-0.0318202;
1.86209;-0.0333142;
1.90546;-0.0348781;
1.94984;-0.0365151;
1.99526;-0.0382286;
2.04174;-0.0400221;
2.0893;-0.0418994;
2.13796;-0.0438642;
2.18776;-0.0459208;
2.23872;-0.0480733;
2.29087;-0.050326;
2.34423;-0.0526838;
2.39883;-0.0551513;
2.45471;-0.0577336;
2.51189;-0.060436;
2.5704;-0.0632639;
2.63027;-0.0662233;
2.69153;-0.0693199;
2.75423;-0.0725602;
2.81838;-0.0759507;
2.88403;-0.0794981;
2.95121;-0.0832097;
3.01995;-0.0870929;
3.0903;-0.0911555;
3.16228;-0.0954055;
3.23594;-0.0998514;
3.31131;-0.104502;
3.38844;-0.109367;
3.46737;-0.114455;
3.54813;-0.119777;
3.63078;-0.125342;
3.71535;-0.131163;
3.80189;-0.137249;
3.89045;-0.143614;
3.98107;-0.150268;
4.0738;-0.157226;
4.16869;-0.1645;
4.2658;-0.172103;
4.36516;-0.180051;
4.46684;-0.188359;
4.57088;-0.197041;
4.67735;-0.206114;
4.7863;-0.215595;
4.89779;-0.225501;
5.01187;-0.23585;
5.12861;-0.246661;
5.24807;-0.257953;
5.37032;-0.269747;
5.49541;-0.282063;
5.62341;-0.294923;
5.7544;-0.308349;
5.88844;-0.322364;
6.0256;-0.336992;
6.16595;-0.352258;
6.30957;-0.368187;
6.45654;-0.384806;
6.60693;-0.402141;
6.76083;-0.420221;
6.91831;-0.439075;
7.07946;-0.458731;
7.24436;-0.47922;
7.4131;-0.500574;
7.58578;-0.522825;
7.76247;-0.546006;
7.94328;-0.570149;
8.12831;-0.59529;
8.31764;-0.621464;
8.51138;-0.648707;
8.70964;-0.677056;
8.91251;-0.706548;
9.12011;-0.737221;
9.33254;-0.769114;
9.54993;-0.802266;
9.77237;-0.836717;
10;-0.872507;
10.2329;-0.909677;
10.4713;-0.948268;
10.7152;-0.988322;
10.9648;-1.02988;
11.2202;-1.07298;
11.4815;-1.11768;
11.749;-1.164;
12.0226;-1.21199;
12.3027;-1.26169;
12.5893;-1.31315;
12.8825;-1.36641;
13.1826;-1.4215;
13.4896;-1.47846;
13.8038;-1.53734;
14.1254;-1.59817;
14.4544;-1.66099;
14.7911;-1.72583;
15.1356;-1.79274;
15.4882;-1.86174;
15.8489;-1.93286;
16.2181;-2.00615;
16.5959;-2.08162;
16.9824;-2.1593;
17.378;-2.23923;
17.7828;-2.32142;
18.197;-2.40589;
18.6209;-2.49267;
19.0546;-2.58178;
19.4984;-2.67323;
19.9526;-2.76703;
20.4174;-2.8632;
20.893;-2.96174;
21.3796;-3.06266;
21.8776;-3.16597;
22.3872;-3.27167;
22.9087;-3.37975;
23.4423;-3.49023;
23.9883;-3.60309;
24.5471;-3.71832;
25.1189;-3.83592;
25.704;-3.95588;
26.3027;-4.07819;
26.9153;-4.20283;
27.5423;-4.32978;
28.1838;-4.45903;
28.8403;-4.59056;
29.5121;-4.72435;
30.1995;-4.86037;
30.903;-4.99861;
31.6228;-5.13903;
32.3594;-5.28163;
33.1131;-5.42636;
33.8844;-5.5732;
34.6737;-5.72212;
35.4813;-5.87311;
36.3078;-6.02612;
37.1535;-6.18114;
38.0189;-6.33813;
