frequency;V(/Vo4) (gain);
0.1;-3.85768e-06;
0.102329;-4.03949e-06;
0.104713;-4.22986e-06;
0.107152;-4.42921e-06;
0.109648;-4.63795e-06;
0.112202;-4.85653e-06;
0.114815;-5.08542e-06;
0.11749;-5.32508e-06;
0.120226;-5.57605e-06;
0.123027;-5.83884e-06;
0.125893;-6.11401e-06;
0.128825;-6.40216e-06;
0.131826;-6.70388e-06;
0.134896;-7.01983e-06;
0.138038;-7.35066e-06;
0.141254;-7.69709e-06;
0.144544;-8.05984e-06;
0.147911;-8.43969e-06;
0.151356;-8.83744e-06;
0.154882;-9.25393e-06;
0.158489;-9.69006e-06;
0.162181;-1.01467e-05;
0.165959;-1.06249e-05;
0.169824;-1.11257e-05;
0.17378;-1.165e-05;
0.177828;-1.21991e-05;
0.18197;-1.2774e-05;
0.186209;-1.3376e-05;
0.190546;-1.40064e-05;
0.194984;-1.46665e-05;
0.199526;-1.53577e-05;
0.204174;-1.60815e-05;
0.20893;-1.68394e-05;
0.213796;-1.7633e-05;
0.218776;-1.8464e-05;
0.223872;-1.93342e-05;
0.229087;-2.02454e-05;
0.234423;-2.11995e-05;
0.239883;-2.21986e-05;
0.245471;-2.32448e-05;
0.251189;-2.43403e-05;
0.25704;-2.54874e-05;
0.263027;-2.66886e-05;
0.269153;-2.79464e-05;
0.275423;-2.92635e-05;
0.281838;-3.06426e-05;
0.288403;-3.20867e-05;
0.295121;-3.35989e-05;
0.301995;-3.51824e-05;
0.30903;-3.68405e-05;
0.316228;-3.85767e-05;
0.323594;-4.03948e-05;
0.331131;-4.22985e-05;
0.338844;-4.4292e-05;
0.346737;-4.63794e-05;
0.354813;-4.85652e-05;
0.363078;-5.0854e-05;
0.371535;-5.32507e-05;
0.380189;-5.57603e-05;
0.389045;-5.83882e-05;
0.398107;-6.11399e-05;
0.40738;-6.40213e-05;
0.416869;-6.70386e-05;
0.42658;-7.0198e-05;
0.436516;-7.35063e-05;
0.446684;-7.69705e-05;
0.457088;-8.0598e-05;
0.467735;-8.43965e-05;
0.47863;-8.83739e-05;
0.489779;-9.25388e-05;
0.501187;-9.69e-05;
0.512861;-0.000101467;
0.524807;-0.000106249;
0.537032;-0.000111256;
0.549541;-0.000116499;
0.562341;-0.00012199;
0.57544;-0.000127739;
0.588844;-0.000133759;
0.60256;-0.000140063;
0.616595;-0.000146664;
0.630957;-0.000153576;
0.645654;-0.000160813;
0.660693;-0.000168392;
0.676083;-0.000176328;
0.691831;-0.000184638;
0.707946;-0.00019334;
0.724436;-0.000202451;
0.74131;-0.000211993;
0.758578;-0.000221983;
0.776247;-0.000232445;
0.794328;-0.0002434;
0.812831;-0.00025487;
0.831764;-0.000266882;
0.851138;-0.000279459;
0.870964;-0.00029263;
0.891251;-0.000306421;
0.912011;-0.000320862;
0.933254;-0.000335983;
0.954993;-0.000351817;
0.977237;-0.000368397;
1;-0.000385759;
1.02329;-0.000403939;
1.04713;-0.000422975;
1.07152;-0.000442909;
1.09648;-0.000463782;
1.12202;-0.000485638;
1.14815;-0.000508525;
1.1749;-0.00053249;
1.20226;-0.000557585;
1.23027;-0.000583862;
1.25893;-0.000611378;
1.28825;-0.00064019;
1.31826;-0.00067036;
1.34896;-0.000701951;
1.38038;-0.000735032;
1.41254;-0.000769671;
1.44544;-0.000805943;
1.47911;-0.000843924;
1.51356;-0.000883694;
1.54882;-0.000925339;
1.58489;-0.000968946;
1.62181;-0.00101461;
1.65959;-0.00106242;
1.69824;-0.00111249;
1.7378;-0.00116491;
1.77828;-0.00121981;
